Ind1	Ind2	R	LnL(R)		U	HS	FS	PO
ESSR25 	ESSR05 	U	-56.67		-	2.17	6.27	9999
ESSR25 	ESSR06 	U	-69.11		-	4.08	9.38	9999
ESSR25 	ESSR07 	U	-57.99		-	2.46	5.81	9999
ESSR25 	ESSR08 	HS	-61.36		1.00	-	2.84	9999
ESSR25 	ESSR09 	HS	-60.56		2.20	-	1.14	9999
ESSR25 	ESSR10 	U	-54.32		-	2.14	5.06	9999
ESSR25 	ESSR11 	HS	-60.25		0.09	-	3.41	9999
ESSR25 	ESSR12 	U	-64.49		-	2.01	6.33	9999
ESSR25 	ESSR13 	U	-50.49		-	1.52	4.45	9999
ESSR25 	ESSR14 	U	-68.81		-	4.53	9.02	9999
ESSR25 	ESSR15 	HS	-51.30		0.68	-	2.46	9999
ESSR25 	ESSR16 	U	-62.57		-	4.11	9.48	9999
ESSR25 	ESSR17 	U	-66.21		-	3.34	8.42	9999
ESSR25 	ESSR21 	U	-61.70		-	5.69	11.57	9999
ESSR25 	ESSR22 	U	-65.73		-	1.52	5.23	9999
ESSR25 	ESSR23 	HS	-69.72		0.93	-	3.37	9999
ESSR25 	ESSR24 	U	-62.86		-	0.83	4.45	9999
ESSR26 	ESSR18 	U	-58.49		-	2.17	5.09	9999
ESSR26 	ESSR19 	U	-66.12		-	3.32	8.12	9999
ESSR26 	ESSR20 	U	-62.88		-	1.65	5.04	9999
ESSR26 	ESSR01 	U	-62.45		-	3.18	7.80	9999
ESSR26 	ESSR02 	U	-61.98		-	1.02	4.04	9999
ESSR26 	ESSR03 	U	-63.17		-	3.44	8.08	9999
ESSR26 	ESSR04 	HS	-64.46		0.98	-	3.16	9999
ESSR26 	ESSR05 	U	-59.24		-	1.10	3.35	9999
ESSR26 	ESSR06 	U	-66.95		-	4.14	9.19	9999
ESSR26 	ESSR07 	U	-60.56		-	0.29	3.77	9999
ESSR26 	ESSR08 	U	-63.41		-	0.06	3.11	9999
ESSR26 	ESSR09 	U	-63.79		-	2.08	6.34	9999
ESSR26 	ESSR10 	U	-54.72		-	4.21	8.97	9999
ESSR26 	ESSR11 	U	-60.48		-	1.04	3.28	9999
ESSR26 	ESSR12 	U	-64.62		-	0.62	4.70	9999
ESSR26 	ESSR13 	U	-47.59		-	2.60	6.49	9999
ESSR26 	ESSR14 	U	-67.34		-	4.55	9.92	9999
ESSR26 	ESSR15 	U	-50.00		-	0.81	3.99	9999
ESSR26 	ESSR16 	U	-62.70		-	2.06	5.84	9999
ESSR26 	ESSR17 	U	-64.74		-	3.29	8.16	9999
ESSR26 	ESSR21 	U	-64.84		-	2.30	6.13	9999
ESSR26 	ESSR22 	U	-66.77		-	4.74	10.13	9999
ESSR26 	ESSR23 	U	-71.70		-	1.68	5.72	9999
ESSR26 	ESSR24 	U	-63.90		-	1.74	5.72	9999
ESSR26 	ESSR25 	U	-70.02		-	1.13	3.27	9999
ESSR27 	ESSR18 	HS	-54.07		0.38	-	1.84	9999
ESSR27 	ESSR19 	HS	-62.60		0.39	-	2.95	9999
ESSR27 	ESSR20 	U	-58.85		-	1.38	5.59	9999
ESSR27 	ESSR01 	U	-58.42		-	2.01	5.79	9999
ESSR27 	ESSR02 	HS	-56.86		1.08	-	3.25	9999
ESSR27 	ESSR03 	U	-59.13		-	2.41	5.85	9999
ESSR27 	ESSR04 	U	-61.40		-	3.25	7.96	9999
ESSR27 	ESSR05 	HS	-52.53		0.24	-	1.81	9999
ESSR27 	ESSR06 	U	-66.11		-	1.47	5.74	9999
ESSR27 	ESSR07 	HS	-52.89		1.20	-	0.78	9999
ESSR27 	ESSR08 	U	-59.37		-	2.71	7.22	9999
ESSR27 	ESSR09 	U	-59.76		-	1.75	5.52	9999
ESSR27 	ESSR10 	HS	-51.01		0.31	-	2.20	9999
ESSR27 	ESSR11 	HS	-56.86		0.49	-	1.86	9999
ESSR27 	ESSR12 	U	-61.50		-	0.94	4.58	9999
ESSR27 	ESSR13 	U	-46.31		-	0.26	1.69	9999
ESSR27 	ESSR14 	U	-65.81		-	1.21	4.48	9999
ESSR27 	ESSR15 	U	-47.81		-	2.22	5.31	9999
ESSR27 	ESSR16 	U	-59.57		-	0.29	2.78	9999
ESSR27 	ESSR17 	U	-63.21		-	0.07	2.79	9999
ESSR27 	ESSR21 	U	-59.62		-	0.50	4.10	9999
ESSR27 	ESSR22 	U	-62.73		-	3.81	9.02	9999
ESSR27 	ESSR23 	U	-67.66		-	2.45	7.19	9999
